"path","line","column","excerpt"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\agents.md","95","26","- Symptoms to look for: ""\xe2\u20ac\u2122"" for ""\u2019"", ""\xe2\u20ac\u201c/\xe2\u20ac\u201d"" for ""\u2013/\u2014"", and ""\xc2\u20ac"" or ""\xe2\u201a\xac"" for ""\u20ac""."
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\agents.md","95","45","- Symptoms to look for: ""\xe2\u20ac\u2122"" for ""\u2019"", ""\xe2\u20ac\u201c/\xe2\u20ac\u201d"" for ""\u2013/\u2014"", and ""\xc2\u20ac"" or ""\xe2\u201a\xac"" for ""\u20ac""."
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\agents.md","95","41","- Symptoms to look for: ""\xe2\u20ac\u2122"" for ""\u2019"", ""\xe2\u20ac\u201c/\xe2\u20ac\u201d"" for ""\u2013/\u2014"", and ""\xc2\u20ac"" or ""\xe2\u201a\xac"" for ""\u20ac""."
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\agents.md","95","66","- Symptoms to look for: ""\xe2\u20ac\u2122"" for ""\u2019"", ""\xe2\u20ac\u201c/\xe2\u20ac\u201d"" for ""\u2013/\u2014"", and ""\xc2\u20ac"" or ""\xe2\u201a\xac"" for ""\u20ac""."
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\agents.md","95","74","- Symptoms to look for: ""\xe2\u20ac\u2122"" for ""\u2019"", ""\xe2\u20ac\u201c/\xe2\u20ac\u201d"" for ""\u2013/\u2014"", and ""\xc2\u20ac"" or ""\xe2\u201a\xac"" for ""\u20ac""."
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","246","34","suffix = f"" \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d User: {user_id or ''} ({user_role or ''})"" if (user_id or user_role) else """""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","371","56","""""""Persist theme selection from the View \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u201a\xac\xc2\xa0\xc3\xa2\xe2\u201a\xac\xe2\u201e\xa2 Theme menu."""""""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","371","63","""""""Persist theme selection from the View \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u201a\xac\xc2\xa0\xc3\xa2\xe2\u201a\xac\xe2\u201e\xa2 Theme menu."""""""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","579","66","self._add_action(m_cmd, ""Incident Dashboard \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Command"", None, ""command.incident_dashboard"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","636","55","self._add_action(m_intel, ""Intel \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard"", None, ""intel.dashboard"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","638","55","self._add_action(m_intel, ""Intel \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Data Manager"", None, ""intel.data_manager"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","664","39","# Public Affairs \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard entry"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1245","78","self._open_dock_widget(panel, title=""Incident Dashboard \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Command"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1295","43","""""""Open the Planning \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d At-a-Glance widget (compact, modeless/dock)."""""""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1314","69","self._open_dock_widget(widget, title=""Planning \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d At-a-Glance"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1412","71","self._open_dock_widget(widget, title=""Operations \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1503","71","op = AppState.get_active_op_period() or ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1504","73","role = AppState.get_active_user_role() or ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1506","42","op, role = ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"", ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1506","64","op, role = ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"", ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1613","56","msg = f""{msg} \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d {who}"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1818","71","op = AppState.get_active_op_period() or ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1820","36","op = ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1822","73","role = AppState.get_active_user_role() or ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1824","38","role = ""\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d"""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1964","40","""""""Open the Intel \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard (modeless) using the new QWidget."""""""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","1972","63","QMessageBox.warning(self, ""Intel \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard"", f""Widget unavailable.\n{e}"")"
